Question,Answer 1,#1,,,,,
"Besides Math, Name The Most Difficult Subject In School",Science,46,,,,,
"Besides Syrup, Name Something Kids Love To Put Their Pancakes.",Butter,61,,,,,
"If your car could talk, name something it might complain about.",Driving Too Fast,27,,,,,
"In The Movies, Name Something Indians Wore That Cowboys Didn’T.",Feathers,61,,,,,
Name A Business That Might Be Very Busy On Valentine’s Day,Flower Shop,86,,,,,
Name A Cartoon Character Whose Head You Might Find At The Top Of A Pez Dispenser,Bugs Bunny,35,,,,,
Name A City In The Us That People Visit For The Holidays.,New York,76,,,,,
Name A Complaint Someone Might Have About A Movie Theater Concession Stand.,Too Expensive,43,,,,,
Name A Dessert That’s Served Hot.,Pie,66,,,,,
Name A Famous “Newton”.,Wayne,38,,,,,
Name a famous man who’s known for having a deep voice.,Barry White,46,,,,,
Name A Fancy Word For “Barber”,Hair Stylist,63,,,,,
Name A Job Which Is Busiest In The Summer Time.,Lifeguard,29,,,,,
Name a kind (not brand) of chip.,Potato,76,,,,,
Name A Kind Of Court,Tennis,23,,,,,
Name A Kind Of Hat Men Like To Wear.,Baseball,62,,,,,
"Name A Movie Monster, Either Scary Or Nice",Frankenstein,13,,,,,
Name A Movie That Has Become A “Cult Classic”,Rocky Horror,31,,,,,
Name A Movie With A Lot Of Dancing,Dirty Dancing,23,,,,,
Name A Movie You’d Be Surprised To See A Teenage Boy Watching.,Gone With The Wind,23,,,,,
Name A Number That People Consider Lucky. # Only,7,77,,,,,
Name A Part Of the Body People Stretch Before Exercising,Legs,68,,,,,
Name A Piece Of Personal Information They Might Ask On A Job Application,Age,26,,,,,
Name A Place That Might Be Busy On Valentines Day,Florist,86,,,,,
Name A Place You Might Sleep When You Stay At A Friend’s House,Couch,51,,,,,
Name A Reason Someone Might Prefer Seeing A Movie In A Theater Instead Of Renting One At Home,Bigger Screen,50,,,,,
Name A Reason Why A Woman Might Marry An Ugly Man.,Money,82,,,,,
Name A Relative You’d Rather Not See During The Holidays,Mother In Law,54,,,,,
Name A Rule You Might See Posted At A Zoo.,Do Not Feed,67,,,,,
Name A Song Made Famous By The Beach Boys,California Girls,31,,,,,
Name A Video Games System People Are Buying For The Holidays.,Xbox 360,36,,,,,
Name An Insect You See More Of In The Summer.,Mosquito,46,,,,,
Name Someone Who Carries A Clipboard,Coach,46,,,,,
Name Something A Couple Might Want To Know About A House Before Buying It.,Price,43,,,,,
Name Something A Dog Might Be Wearing,Collar,82,,,,,
Name Something A First Year College Student Might Have To Learn How To Do On Their Own.,Do Laundry,49,,,,,
Name Something A Knight Needs For A Jousting Match.,Horse,51,,,,,
Name Something A Man Might Put In His Hair.,Gel,42,,,,,
"Name Something A Man Might Try And Fix, But Ends Up Having To Call A Professional For.",Sink,55,,,,,
Name Something A Person Might Do If They Found A Wallet Full Of Money,Spend,61,,,,,
Name Something A Taxi Driver Might Do To Annoy A Passenger,Talking,39,,,,,
Name Something An Ant Might Find Annoying About Living In An Ant Farm.,Overpopulated / Too Small,55,,,,,
Name Something Associated With Jack Nicholson,Joker,25,,,,,
Name Something Australia Is Known For.,Kangaroo,46,,,,,
Name Something Made From Lemons,Lemonade,75,,,,,
Name Something Parents Nag Their Kids About.,Cleaning Their Room,50,,,,,
Name Something People Forget To Do When They Leave Their Car,Lock Door,54,,,,,
Name Something People Got To A Professional To Have Cleaned.,Teeth,59,,,,,
Name Something People Have All To Themselves While Single That They Have To Share When Married,Bed,33,,,,,
Name Something Pilgrims Wear,Hat,55,,,,,
Name Something Pregnant Women Do A Lot Of When They’re In Labor.,Scream,49,,,,,
Name Something Specific A Child Might Hold In His Hand At A Carnival,Cotton Candy,55,,,,,
Name Something That Computers And Sports Cars Have In Common.,Speed,56,,,,,
Name Something That Dallas Texas Is Known For.,Cowboys,66,,,,,
Name Something That Happens In October,Halloween,75,,,,,
Name Something That Makes You Squint.,Sun,65,,,,,
Name Something That Might Ruin A Day At A Popular Amusement Park.,Bad Weather,74,,,,,
Name Something That People Check Before Using The Bathroom At A Party.,Toilet Paper,49,,,,,
Name Something That’s Usually More Expensive At Department Stores Than At Drug Stores.,Clothes,48,,,,,
Name Something You Can Make With Lots Of Pictures ( Wording Not Exact ),Photo Album,29,,,,,
Name Something You Have To Put On A Personal Check,Signature,58,,,,,
Name Something You Might Find In A Police Car.,Guns,41,,,,,
Name Something You Might See At A Chinese New Years Celebration,Dragon,47,,,,,
Name Something You Need When Making A Birthday Cake,Candles,18,,,,,
Name Something You’d Hate To Have Happen While House-Sitting,Fire,63,,,,,
Name The Average Age A Pro Athlete Retires (Numeric Only),35,44,,,,,
"Other Than A Drivers License, Name Something For Which Some People Have Photo Id.",Passport,49,,,,,
Tell Me Something That Is Still Classy In Hollywood.,Award Shows,34,,,,,
"When A Man Wears A Toupee, Name Something He Takes It Off To Do.",Shower,53,,,,,
Which Movie Would You Have To Be Paid A Million Dollars To Ever Watch Again.,Titanic,44,,,,,
"Besides A Rose, Name A Type Of Flower A Man Might Give To A Woman.",Carnation,29,,,,,
Name A Brand Of Laundry Detergent You Can Buy At Any Grocery Store.,Tide,77,,,,,
Name A Complaint You Might Have About The Pizza That Was Just Ordered.,Cold,60,,,,,
Name A Flavor That They Might Add To A Snow Cone.,Cherry,37,,,,,
Name A Kind Of Machine A Secretary Might Use While On The Job.,Computer,64,,,,,
Name A Place Where You Might Hear Bells Ringing.,Church,67,,,,,
Name A Popular Use For Apples In The Fall.,Pie,58,,,,,
Name A Reason A Lifeguard Might Make Everybody Get Out Of The Ocean.,Shark,59,,,,,
Name A Reason One Dog Might Make A Better Security Dog Than Another.,Size,65,,,,,
Name A Reason You Might Take Your Child Out Of A Movie.,Bad Language,32,,,,,
Name A Sea Creature You’d Be Surprised To Hear Attacked Someone.,Dolphin,46,,,,,
Name A Type Of Bread People Order Sandwiches On At A Deli.,Wheat,32,,,,,
Name An Animal That’s Often Hunted.,Deer,66,,,,,
Name An Article Of Clothing That You’d Never Wear In Summer,Coat,47,,,,,
Name Something A Kid Might Bring Home From School That Their Parents Would Be Proud Of.,Good Grades,72,,,,,
Name Something A Pizza Delivery Person Hates About Their Job.,Bad Tips,48,,,,,
Name Something An Artist Uses.,Paint Brush,50,,,,,
